,drug,HC03_VC208,HC03_VC207,HC03_VC206,HC03_VC205,HC03_VC204,HC03_VC203,HC03_VC202,HC03_VC201,HC03_VC200,HC03_VC199,HC03_VC198,HC03_VC197,HC03_VC196,HC03_VC195,HC03_VC194,HC03_VC193
83,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
84,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
85,high,HC03_VC208_2,HC03_VC207_2,HC03_VC206_2,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_3,HC03_VC197_3,HC03_VC196_2,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
86,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
87,high,HC03_VC208_1,HC03_VC207_3,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_2,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
88,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
89,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_4,HC03_VC204_4,HC03_VC203_3,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_2,HC03_VC195_3,HC03_VC194_1,HC03_VC193_3
90,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_3,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
91,high,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_1,HC03_VC203_3,HC03_VC202_1,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
92,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_3,HC03_VC193_4
93,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_4,HC03_VC203_2,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
94,high,HC03_VC208_3,HC03_VC207_1,HC03_VC206_2,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
95,high,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_1,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_2,HC03_VC193_4
96,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_4,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_3,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
97,high,HC03_VC208_4,HC03_VC207_1,HC03_VC206_3,HC03_VC205_2,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
98,high,HC03_VC208_4,HC03_VC207_3,HC03_VC206_2,HC03_VC205_4,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
99,high,HC03_VC208_2,HC03_VC207_3,HC03_VC206_2,HC03_VC205_3,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_3,HC03_VC200_1,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_2,HC03_VC194_2,HC03_VC193_3
100,high,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_2,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
101,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_3,HC03_VC200_1,HC03_VC199_1,HC03_VC198_2,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
102,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_3,HC03_VC196_4,HC03_VC195_2,HC03_VC194_2,HC03_VC193_3
103,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_3,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
104,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_1,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_1,HC03_VC196_4,HC03_VC195_3,HC03_VC194_2,HC03_VC193_4
105,mid,HC03_VC208_4,HC03_VC207_2,HC03_VC206_3,HC03_VC205_3,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_2,HC03_VC193_3
106,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_1,HC03_VC205_1,HC03_VC204_4,HC03_VC203_2,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_2,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_2
107,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_2,HC03_VC197_3,HC03_VC196_2,HC03_VC195_2,HC03_VC194_3,HC03_VC193_1
108,mid,HC03_VC208_3,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_3,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_1,HC03_VC194_4,HC03_VC193_4
109,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_2,HC03_VC197_3,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
110,mid,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_4,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
111,mid,HC03_VC208_3,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_3,HC03_VC203_3,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
112,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_1,HC03_VC205_3,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_3,HC03_VC199_2,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_3
113,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1
114,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_2,HC03_VC203_4,HC03_VC202_1,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
115,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_2,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
116,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_3,HC03_VC202_1,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4
117,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
118,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_1,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_4,HC03_VC195_3,HC03_VC194_1,HC03_VC193_4
119,mid,HC03_VC208_4,HC03_VC207_3,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
120,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_3,HC03_VC204_4,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
121,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_2,HC03_VC202_2,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
122,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_2,HC03_VC204_4,HC03_VC203_3,HC03_VC202_2,HC03_VC201_3,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_2,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
123,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_2,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
124,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_3,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
125,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_3,HC03_VC204_3,HC03_VC203_2,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
126,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_2,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_3,HC03_VC193_1
127,mid,HC03_VC208_3,HC03_VC207_1,HC03_VC206_3,HC03_VC205_3,HC03_VC204_4,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_4,HC03_VC199_2,HC03_VC198_2,HC03_VC197_4,HC03_VC196_2,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
128,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
129,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_4,HC03_VC195_2,HC03_VC194_3,HC03_VC193_1
130,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_1,HC03_VC205_2,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_3
131,mid,HC03_VC208_4,HC03_VC207_1,HC03_VC206_2,HC03_VC205_3,HC03_VC204_2,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_1,HC03_VC198_2,HC03_VC197_3,HC03_VC196_1,HC03_VC195_2,HC03_VC194_3,HC03_VC193_3
132,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_2,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
133,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_2,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_3,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3
134,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_3,HC03_VC203_2,HC03_VC202_2,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1
135,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
136,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_2,HC03_VC205_2,HC03_VC204_1,HC03_VC203_2,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_3,HC03_VC197_1,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3
137,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1
138,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3
139,mid,HC03_VC208_2,HC03_VC207_3,HC03_VC206_1,HC03_VC205_4,HC03_VC204_4,HC03_VC203_3,HC03_VC202_2,HC03_VC201_1,HC03_VC200_3,HC03_VC199_2,HC03_VC198_1,HC03_VC197_4,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
140,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_4,HC03_VC203_2,HC03_VC202_2,HC03_VC201_3,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
141,mid,HC03_VC208_4,HC03_VC207_1,HC03_VC206_3,HC03_VC205_1,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_1,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
142,mid,HC03_VC208_2,HC03_VC207_2,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_3,HC03_VC202_2,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_3,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3
143,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_3,HC03_VC204_4,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_3,HC03_VC196_2,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1
144,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_2,HC03_VC205_1,HC03_VC204_2,HC03_VC203_4,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
145,mid,HC03_VC208_1,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_2,HC03_VC201_3,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_4,HC03_VC196_2,HC03_VC195_3,HC03_VC194_3,HC03_VC193_2
146,mid,HC03_VC208_4,HC03_VC207_1,HC03_VC206_2,HC03_VC205_2,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_1,HC03_VC198_3,HC03_VC197_4,HC03_VC196_2,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
147,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_2,HC03_VC204_3,HC03_VC203_1,HC03_VC202_2,HC03_VC201_2,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_4,HC03_VC196_1,HC03_VC195_1,HC03_VC194_3,HC03_VC193_1
148,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_1,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_2,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
149,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_3,HC03_VC204_2,HC03_VC203_4,HC03_VC202_1,HC03_VC201_4,HC03_VC200_3,HC03_VC199_2,HC03_VC198_4,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3
150,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_1,HC03_VC203_4,HC03_VC202_1,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_2
151,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_2,HC03_VC205_1,HC03_VC204_3,HC03_VC203_2,HC03_VC202_1,HC03_VC201_2,HC03_VC200_1,HC03_VC199_2,HC03_VC198_2,HC03_VC197_4,HC03_VC196_2,HC03_VC195_1,HC03_VC194_3,HC03_VC193_1
152,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_1,HC03_VC199_1,HC03_VC198_1,HC03_VC197_2,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1
153,mid,HC03_VC208_1,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
154,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_1,HC03_VC205_1,HC03_VC204_2,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_2,HC03_VC199_2,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2
155,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_2,HC03_VC204_2,HC03_VC203_3,HC03_VC202_2,HC03_VC201_2,HC03_VC200_3,HC03_VC199_2,HC03_VC198_3,HC03_VC197_2,HC03_VC196_1,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1
156,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_3,HC03_VC205_1,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_1,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_4,HC03_VC195_1,HC03_VC194_4,HC03_VC193_4
157,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_2,HC03_VC205_2,HC03_VC204_3,HC03_VC203_1,HC03_VC202_1,HC03_VC201_3,HC03_VC200_2,HC03_VC199_1,HC03_VC198_2,HC03_VC197_2,HC03_VC196_3,HC03_VC195_2,HC03_VC194_2,HC03_VC193_2
158,mid,HC03_VC208_4,HC03_VC207_3,HC03_VC206_2,HC03_VC205_3,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_3,HC03_VC200_4,HC03_VC199_2,HC03_VC198_4,HC03_VC197_3,HC03_VC196_3,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4
159,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_2,HC03_VC204_2,HC03_VC203_1,HC03_VC202_2,HC03_VC201_1,HC03_VC200_3,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3
160,mid,HC03_VC208_4,HC03_VC207_3,HC03_VC206_3,HC03_VC205_1,HC03_VC204_4,HC03_VC203_4,HC03_VC202_1,HC03_VC201_3,HC03_VC200_4,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_4,HC03_VC195_3,HC03_VC194_2,HC03_VC193_4
161,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_1,HC03_VC205_4,HC03_VC204_4,HC03_VC203_1,HC03_VC202_1,HC03_VC201_1,HC03_VC200_2,HC03_VC199_1,HC03_VC198_1,HC03_VC197_1,HC03_VC196_1,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2
162,mid,HC03_VC208_2,HC03_VC207_1,HC03_VC206_3,HC03_VC205_3,HC03_VC204_4,HC03_VC203_4,HC03_VC202_2,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_4,HC03_VC196_1,HC03_VC195_1,HC03_VC194_3,HC03_VC193_1
163,mid,HC03_VC208_3,HC03_VC207_1,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_2,HC03_VC202_2,HC03_VC201_4,HC03_VC200_1,HC03_VC199_2,HC03_VC198_3,HC03_VC197_4,HC03_VC196_2,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1
164,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_2,HC03_VC205_1,HC03_VC204_1,HC03_VC203_1,HC03_VC202_1,HC03_VC201_2,HC03_VC200_2,HC03_VC199_2,HC03_VC198_2,HC03_VC197_1,HC03_VC196_2,HC03_VC195_2,HC03_VC194_2,HC03_VC193_1
165,mid,HC03_VC208_3,HC03_VC207_3,HC03_VC206_3,HC03_VC205_4,HC03_VC204_3,HC03_VC203_4,HC03_VC202_2,HC03_VC201_4,HC03_VC200_2,HC03_VC199_2,HC03_VC198_4,HC03_VC197_2,HC03_VC196_3,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
166,mid,HC03_VC208_1,HC03_VC207_2,HC03_VC206_3,HC03_VC205_2,HC03_VC204_1,HC03_VC203_4,HC03_VC202_1,HC03_VC201_4,HC03_VC200_4,HC03_VC199_2,HC03_VC198_3,HC03_VC197_1,HC03_VC196_4,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1
