,drug,HC03_VC61,HC03_VC62,HC03_VC64,HC03_VC65,HC03_VC66,HC03_VC67,HC03_VC69,HC03_VC70,HC03_VC71
146,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
147,mid,HC03_VC61_4,HC03_VC62_3,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
148,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
149,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
150,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_3
151,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
152,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_3,HC03_VC71_2
153,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_2,HC03_VC71_2
154,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
155,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_2,HC03_VC67_4,HC03_VC69_3,HC03_VC70_2,HC03_VC71_4
156,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_4,HC03_VC65_2,HC03_VC66_1,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_3
157,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_1,HC03_VC65_4,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
158,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_2,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
159,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
160,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_1,HC03_VC65_4,HC03_VC66_3,HC03_VC67_2,HC03_VC69_3,HC03_VC70_4,HC03_VC71_4
161,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_4,HC03_VC71_4
162,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_4,HC03_VC71_3
163,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
164,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
165,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
166,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
167,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_3,HC03_VC69_4,HC03_VC70_1,HC03_VC71_2
168,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_3,HC03_VC70_2,HC03_VC71_3
169,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_1,HC03_VC69_1,HC03_VC70_1,HC03_VC71_3
170,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_2
171,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_3,HC03_VC65_1,HC03_VC66_4,HC03_VC67_3,HC03_VC69_4,HC03_VC70_4,HC03_VC71_2
172,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_3,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
173,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
174,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
175,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
176,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
177,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
178,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_4,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
179,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
180,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
181,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_1,HC03_VC67_2,HC03_VC69_2,HC03_VC70_3,HC03_VC71_4
182,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
183,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_3
184,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
185,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_4,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
186,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
187,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
188,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
189,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
190,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_4,HC03_VC71_1
191,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_4,HC03_VC66_3,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_1
192,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
193,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
194,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
195,mid,HC03_VC61_1,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
196,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_3,HC03_VC70_3,HC03_VC71_2
197,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
198,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
199,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_4,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
200,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
201,mid,HC03_VC61_1,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
202,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
203,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_3,HC03_VC66_2,HC03_VC67_4,HC03_VC69_4,HC03_VC70_3,HC03_VC71_4
204,mid,HC03_VC61_1,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
205,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
206,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_2,HC03_VC70_3,HC03_VC71_1
207,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_2,HC03_VC66_1,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
208,mid,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_3
209,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_3,HC03_VC70_1,HC03_VC71_2
210,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_4,HC03_VC71_3
211,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_4
212,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_2,HC03_VC71_1
213,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_3,HC03_VC70_1,HC03_VC71_2
214,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
215,mid,HC03_VC61_4,HC03_VC62_3,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_2,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
216,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
217,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_4,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
218,mid,HC03_VC61_4,HC03_VC62_3,HC03_VC64_1,HC03_VC65_4,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_3,HC03_VC71_1
219,mid,HC03_VC61_4,HC03_VC62_3,HC03_VC64_4,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_4,HC03_VC70_2,HC03_VC71_2
220,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
221,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_4,HC03_VC69_1,HC03_VC70_1,HC03_VC71_3
222,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_3,HC03_VC66_1,HC03_VC67_2,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
223,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_4,HC03_VC70_3,HC03_VC71_2
224,mid,HC03_VC61_1,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_4,HC03_VC71_1
225,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_3,HC03_VC67_3,HC03_VC69_4,HC03_VC70_2,HC03_VC71_4
226,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
227,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_4,HC03_VC67_3,HC03_VC69_2,HC03_VC70_3,HC03_VC71_4
228,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_2,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
229,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_3,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
230,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_1,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_3,HC03_VC71_1
231,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_3,HC03_VC70_2,HC03_VC71_3
232,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_3,HC03_VC69_4,HC03_VC70_2,HC03_VC71_2
233,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_2,HC03_VC65_2,HC03_VC66_4,HC03_VC67_3,HC03_VC69_3,HC03_VC70_2,HC03_VC71_1
234,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_2
235,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_1,HC03_VC71_1
236,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
237,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_1,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_4
238,mid,HC03_VC61_1,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
239,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_1
240,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
241,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_1,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
242,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_3
243,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
244,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
245,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_4,HC03_VC69_2,HC03_VC70_1,HC03_VC71_3
246,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_3,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_1
247,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_3,HC03_VC66_1,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
248,mid,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_2,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
249,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_3,HC03_VC66_2,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
250,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_4,HC03_VC69_3,HC03_VC70_4,HC03_VC71_4
251,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_2,HC03_VC67_4,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
252,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_2,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
253,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_4,HC03_VC65_3,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
254,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
255,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_2,HC03_VC67_3,HC03_VC69_3,HC03_VC70_2,HC03_VC71_2
256,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_4
257,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_2,HC03_VC71_4
258,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_2,HC03_VC65_2,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
259,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
260,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_1,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
261,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_3,HC03_VC65_3,HC03_VC66_1,HC03_VC67_3,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
262,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
263,mid,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
264,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
265,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_4,HC03_VC71_1
266,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_4,HC03_VC65_2,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
267,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_4,HC03_VC71_4
268,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
269,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
270,mid,HC03_VC61_4,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_4,HC03_VC71_1
271,mid,HC03_VC61_1,HC03_VC62_3,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
272,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_2
273,mid,HC03_VC61_2,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
274,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_4,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
275,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_1
276,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_1,HC03_VC67_3,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
277,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_3,HC03_VC71_1
278,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
279,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_3,HC03_VC70_3,HC03_VC71_2
280,mid,HC03_VC61_1,HC03_VC62_2,HC03_VC64_1,HC03_VC65_2,HC03_VC66_2,HC03_VC67_4,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
281,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
282,mid,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
283,mid,HC03_VC61_4,HC03_VC62_2,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_1
284,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
285,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_2,HC03_VC66_4,HC03_VC67_4,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
286,mid,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
287,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_4,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
288,mid,HC03_VC61_3,HC03_VC62_2,HC03_VC64_3,HC03_VC65_4,HC03_VC66_4,HC03_VC67_1,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
289,mid,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_3,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
290,mid,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
291,mid,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_2,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
