,drug,HC03_VC117,HC03_VC118,HC03_VC119,HC03_VC120,HC03_VC121,HC03_VC122,HC03_VC123,HC03_VC124
164,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
165,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_3,HC03_VC123_2,HC03_VC124_3
166,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
167,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
168,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
169,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_3
170,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
171,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_3
172,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
173,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
174,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
175,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_4,HC03_VC123_1,HC03_VC124_1
176,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
177,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
178,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
179,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
180,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_2
181,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
182,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
183,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
184,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
185,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
186,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
187,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_3
188,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
189,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
190,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
191,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_1
192,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
193,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
194,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_4,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_4,HC03_VC124_1
195,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
196,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
197,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
198,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
199,mid,HC03_VC117_1,HC03_VC118_1,HC03_VC119_4,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
200,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_3
201,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
202,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
203,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
204,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
205,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
206,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
207,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
208,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
209,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
210,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
211,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
212,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
213,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
214,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
215,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
216,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
217,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
218,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
219,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_4,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
220,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_1,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
221,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
222,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
223,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_3
224,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
225,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_3
226,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
227,mid,HC03_VC117_1,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
228,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
229,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
230,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
231,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
232,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
233,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
234,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
235,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
236,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_1
237,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
238,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
239,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
240,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
241,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
242,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
243,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
244,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_1
245,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
246,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
247,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
248,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
249,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
250,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_3
251,mid,HC03_VC117_1,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
252,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
253,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
254,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
255,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
256,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
257,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_3
258,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
259,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_1
260,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
261,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
262,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
263,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
264,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
265,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
266,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
267,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
268,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
269,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_1
270,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
271,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
272,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_3
273,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
274,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_4,HC03_VC123_1,HC03_VC124_1
275,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
276,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
277,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_3
278,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
279,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
280,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
281,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_3,HC03_VC124_2
282,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_1,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
283,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_2,HC03_VC120_3,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
284,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
285,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_2
286,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
287,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
288,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_2,HC03_VC124_3
289,mid,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
290,mid,HC03_VC117_1,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
291,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_2
292,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
293,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_2,HC03_VC123_4,HC03_VC124_3
294,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_4,HC03_VC124_1
295,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
296,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
297,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
298,mid,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
299,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_1
300,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
301,mid,HC03_VC117_4,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
302,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
303,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
304,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_3
305,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_2,HC03_VC124_3
306,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
307,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
308,mid,HC03_VC117_4,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_2,HC03_VC122_3,HC03_VC123_1,HC03_VC124_1
309,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_1
310,mid,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_2
311,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_2,HC03_VC124_1
312,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_4,HC03_VC123_1,HC03_VC124_2
313,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
314,mid,HC03_VC117_1,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
315,mid,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_3,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
316,mid,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_3
317,mid,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_2
318,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_3,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
319,mid,HC03_VC117_4,HC03_VC118_2,HC03_VC119_3,HC03_VC120_4,HC03_VC121_2,HC03_VC122_1,HC03_VC123_4,HC03_VC124_3
320,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
321,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
322,mid,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_1
323,mid,HC03_VC117_2,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
324,mid,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_2
325,mid,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_2
326,mid,HC03_VC117_2,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
