,drug,HC03_VC182,HC03_VC183,HC03_VC184,HC03_VC185,HC03_VC186,HC03_VC187,HC03_VC188,HC03_VC189,HC03_VC190,HC03_VC191,HC03_VC192,HC03_VC193,HC03_VC194,HC03_VC195,HC03_VC196,HC03_VC197,HC03_VC198,HC03_VC199,HC03_VC200,HC03_VC201,HC03_VC202,HC03_VC203,HC03_VC204,HC03_VC205,HC03_VC206,HC03_VC207,HC03_VC208,HC03_VC209
47,high,HC03_VC182_4,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_1,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
48,high,HC03_VC182_2,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_4,HC03_VC188_2,HC03_VC189_4,HC03_VC190_2,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_3,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_1,HC03_VC207_2,HC03_VC208_4,HC03_VC209_2
49,high,HC03_VC182_2,HC03_VC183_3,HC03_VC184_2,HC03_VC185_3,HC03_VC186_1,HC03_VC187_4,HC03_VC188_1,HC03_VC189_2,HC03_VC190_1,HC03_VC191_2,HC03_VC192_1,HC03_VC193_2,HC03_VC194_2,HC03_VC195_2,HC03_VC196_2,HC03_VC197_1,HC03_VC198_2,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_2,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_2,HC03_VC209_1
50,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_3,HC03_VC185_1,HC03_VC186_1,HC03_VC187_2,HC03_VC188_4,HC03_VC189_3,HC03_VC190_1,HC03_VC191_2,HC03_VC192_3,HC03_VC193_2,HC03_VC194_4,HC03_VC195_2,HC03_VC196_3,HC03_VC197_1,HC03_VC198_3,HC03_VC199_1,HC03_VC200_3,HC03_VC201_3,HC03_VC202_3,HC03_VC203_2,HC03_VC204_3,HC03_VC205_3,HC03_VC206_2,HC03_VC207_2,HC03_VC208_1,HC03_VC209_1
51,high,HC03_VC182_4,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_1,HC03_VC189_3,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_1,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_2,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_1,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_2,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
52,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_1,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_3,HC03_VC189_2,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_3,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_2,HC03_VC203_3,HC03_VC204_2,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
53,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_2,HC03_VC185_2,HC03_VC186_3,HC03_VC187_2,HC03_VC188_3,HC03_VC189_1,HC03_VC190_1,HC03_VC191_1,HC03_VC192_3,HC03_VC193_2,HC03_VC194_1,HC03_VC195_2,HC03_VC196_3,HC03_VC197_2,HC03_VC198_2,HC03_VC199_2,HC03_VC200_3,HC03_VC201_4,HC03_VC202_2,HC03_VC203_2,HC03_VC204_2,HC03_VC205_2,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
54,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_1,HC03_VC185_1,HC03_VC186_2,HC03_VC187_2,HC03_VC188_3,HC03_VC189_2,HC03_VC190_1,HC03_VC191_2,HC03_VC192_1,HC03_VC193_1,HC03_VC194_2,HC03_VC195_1,HC03_VC196_1,HC03_VC197_1,HC03_VC198_1,HC03_VC199_2,HC03_VC200_1,HC03_VC201_2,HC03_VC202_3,HC03_VC203_1,HC03_VC204_1,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_1,HC03_VC209_1
55,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_2,HC03_VC185_2,HC03_VC186_3,HC03_VC187_2,HC03_VC188_2,HC03_VC189_3,HC03_VC190_2,HC03_VC191_3,HC03_VC192_2,HC03_VC193_4,HC03_VC194_1,HC03_VC195_3,HC03_VC196_3,HC03_VC197_2,HC03_VC198_3,HC03_VC199_1,HC03_VC200_3,HC03_VC201_2,HC03_VC202_2,HC03_VC203_3,HC03_VC204_2,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_2,HC03_VC209_1
56,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_2,HC03_VC185_1,HC03_VC186_3,HC03_VC187_1,HC03_VC188_3,HC03_VC189_2,HC03_VC190_1,HC03_VC191_1,HC03_VC192_3,HC03_VC193_2,HC03_VC194_2,HC03_VC195_2,HC03_VC196_2,HC03_VC197_3,HC03_VC198_2,HC03_VC199_2,HC03_VC200_3,HC03_VC201_4,HC03_VC202_2,HC03_VC203_1,HC03_VC204_3,HC03_VC205_3,HC03_VC206_1,HC03_VC207_2,HC03_VC208_1,HC03_VC209_2
57,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_1,HC03_VC186_1,HC03_VC187_2,HC03_VC188_1,HC03_VC189_1,HC03_VC190_1,HC03_VC191_1,HC03_VC192_1,HC03_VC193_1,HC03_VC194_1,HC03_VC195_1,HC03_VC196_1,HC03_VC197_1,HC03_VC198_1,HC03_VC199_1,HC03_VC200_1,HC03_VC201_2,HC03_VC202_1,HC03_VC203_1,HC03_VC204_1,HC03_VC205_1,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
58,high,HC03_VC182_1,HC03_VC183_3,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_3,HC03_VC189_1,HC03_VC190_2,HC03_VC191_2,HC03_VC192_3,HC03_VC193_3,HC03_VC194_2,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_3,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_2,HC03_VC207_3,HC03_VC208_1,HC03_VC209_2
59,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_3,HC03_VC188_3,HC03_VC189_4,HC03_VC190_1,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_2,HC03_VC195_4,HC03_VC196_3,HC03_VC197_1,HC03_VC198_4,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_2,HC03_VC206_2,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
60,high,HC03_VC182_1,HC03_VC183_3,HC03_VC184_2,HC03_VC185_2,HC03_VC186_2,HC03_VC187_1,HC03_VC188_1,HC03_VC189_2,HC03_VC190_2,HC03_VC191_1,HC03_VC192_2,HC03_VC193_1,HC03_VC194_1,HC03_VC195_1,HC03_VC196_2,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_1,HC03_VC203_2,HC03_VC204_2,HC03_VC205_1,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_1
61,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_2,HC03_VC186_1,HC03_VC187_3,HC03_VC188_2,HC03_VC189_2,HC03_VC190_1,HC03_VC191_1,HC03_VC192_1,HC03_VC193_1,HC03_VC194_1,HC03_VC195_1,HC03_VC196_1,HC03_VC197_1,HC03_VC198_1,HC03_VC199_1,HC03_VC200_1,HC03_VC201_3,HC03_VC202_2,HC03_VC203_1,HC03_VC204_1,HC03_VC205_1,HC03_VC206_2,HC03_VC207_1,HC03_VC208_1,HC03_VC209_1
62,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_1,HC03_VC186_2,HC03_VC187_3,HC03_VC188_4,HC03_VC189_3,HC03_VC190_2,HC03_VC191_2,HC03_VC192_1,HC03_VC193_1,HC03_VC194_1,HC03_VC195_1,HC03_VC196_1,HC03_VC197_3,HC03_VC198_1,HC03_VC199_2,HC03_VC200_1,HC03_VC201_4,HC03_VC202_3,HC03_VC203_1,HC03_VC204_1,HC03_VC205_1,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
63,high,HC03_VC182_2,HC03_VC183_1,HC03_VC184_2,HC03_VC185_3,HC03_VC186_1,HC03_VC187_3,HC03_VC188_1,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_3,HC03_VC195_4,HC03_VC196_2,HC03_VC197_3,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_3,HC03_VC204_3,HC03_VC205_2,HC03_VC206_2,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
64,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_3,HC03_VC189_4,HC03_VC190_3,HC03_VC191_3,HC03_VC192_3,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_3,HC03_VC201_1,HC03_VC202_2,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_3,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
65,high,HC03_VC182_3,HC03_VC183_3,HC03_VC184_1,HC03_VC185_2,HC03_VC186_1,HC03_VC187_4,HC03_VC188_2,HC03_VC189_3,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_3,HC03_VC194_4,HC03_VC195_1,HC03_VC196_2,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_1,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_3,HC03_VC209_1
66,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_1,HC03_VC205_3,HC03_VC206_2,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
67,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_1,HC03_VC186_2,HC03_VC187_1,HC03_VC188_4,HC03_VC189_3,HC03_VC190_2,HC03_VC191_1,HC03_VC192_2,HC03_VC193_1,HC03_VC194_3,HC03_VC195_1,HC03_VC196_1,HC03_VC197_2,HC03_VC198_1,HC03_VC199_1,HC03_VC200_1,HC03_VC201_3,HC03_VC202_4,HC03_VC203_1,HC03_VC204_1,HC03_VC205_2,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_1
68,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_2,HC03_VC186_2,HC03_VC187_4,HC03_VC188_4,HC03_VC189_3,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_3,HC03_VC194_4,HC03_VC195_2,HC03_VC196_1,HC03_VC197_1,HC03_VC198_2,HC03_VC199_1,HC03_VC200_1,HC03_VC201_3,HC03_VC202_3,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_3,HC03_VC209_1
69,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_1,HC03_VC185_1,HC03_VC186_3,HC03_VC187_3,HC03_VC188_3,HC03_VC189_3,HC03_VC190_1,HC03_VC191_3,HC03_VC192_2,HC03_VC193_2,HC03_VC194_2,HC03_VC195_3,HC03_VC196_3,HC03_VC197_2,HC03_VC198_4,HC03_VC199_1,HC03_VC200_2,HC03_VC201_1,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_2,HC03_VC206_2,HC03_VC207_3,HC03_VC208_2,HC03_VC209_1
70,high,HC03_VC182_3,HC03_VC183_3,HC03_VC184_1,HC03_VC185_2,HC03_VC186_3,HC03_VC187_4,HC03_VC188_1,HC03_VC189_4,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_2,HC03_VC194_4,HC03_VC195_3,HC03_VC196_3,HC03_VC197_2,HC03_VC198_3,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_3,HC03_VC203_2,HC03_VC204_2,HC03_VC205_3,HC03_VC206_2,HC03_VC207_3,HC03_VC208_3,HC03_VC209_1
71,high,HC03_VC182_2,HC03_VC183_3,HC03_VC184_1,HC03_VC185_3,HC03_VC186_2,HC03_VC187_2,HC03_VC188_2,HC03_VC189_4,HC03_VC190_2,HC03_VC191_3,HC03_VC192_2,HC03_VC193_1,HC03_VC194_1,HC03_VC195_2,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_3,HC03_VC201_2,HC03_VC202_2,HC03_VC203_2,HC03_VC204_2,HC03_VC205_3,HC03_VC206_4,HC03_VC207_2,HC03_VC208_4,HC03_VC209_2
72,high,HC03_VC182_1,HC03_VC183_3,HC03_VC184_1,HC03_VC185_3,HC03_VC186_2,HC03_VC187_2,HC03_VC188_3,HC03_VC189_1,HC03_VC190_3,HC03_VC191_1,HC03_VC192_2,HC03_VC193_3,HC03_VC194_1,HC03_VC195_2,HC03_VC196_2,HC03_VC197_2,HC03_VC198_3,HC03_VC199_2,HC03_VC200_3,HC03_VC201_3,HC03_VC202_2,HC03_VC203_2,HC03_VC204_3,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_2,HC03_VC209_2
73,high,HC03_VC182_3,HC03_VC183_3,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_4,HC03_VC189_3,HC03_VC190_3,HC03_VC191_3,HC03_VC192_3,HC03_VC193_3,HC03_VC194_3,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_2,HC03_VC199_2,HC03_VC200_1,HC03_VC201_1,HC03_VC202_1,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_2,HC03_VC209_2
74,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_1,HC03_VC186_2,HC03_VC187_4,HC03_VC188_3,HC03_VC189_3,HC03_VC190_3,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_2,HC03_VC201_1,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_1,HC03_VC207_3,HC03_VC208_3,HC03_VC209_1
75,high,HC03_VC182_4,HC03_VC183_1,HC03_VC184_3,HC03_VC185_2,HC03_VC186_2,HC03_VC187_3,HC03_VC188_1,HC03_VC189_4,HC03_VC190_4,HC03_VC191_3,HC03_VC192_3,HC03_VC193_4,HC03_VC194_2,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_1,HC03_VC200_4,HC03_VC201_1,HC03_VC202_1,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_2,HC03_VC208_2,HC03_VC209_2
76,high,HC03_VC182_4,HC03_VC183_3,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_4,HC03_VC203_2,HC03_VC204_1,HC03_VC205_4,HC03_VC206_3,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
77,high,HC03_VC182_2,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_2,HC03_VC188_3,HC03_VC189_4,HC03_VC190_1,HC03_VC191_3,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_4,HC03_VC201_2,HC03_VC202_1,HC03_VC203_2,HC03_VC204_3,HC03_VC205_3,HC03_VC206_3,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
78,high,HC03_VC182_1,HC03_VC183_3,HC03_VC184_2,HC03_VC185_2,HC03_VC186_1,HC03_VC187_4,HC03_VC188_4,HC03_VC189_3,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_3,HC03_VC194_4,HC03_VC195_3,HC03_VC196_3,HC03_VC197_2,HC03_VC198_3,HC03_VC199_2,HC03_VC200_3,HC03_VC201_3,HC03_VC202_4,HC03_VC203_2,HC03_VC204_1,HC03_VC205_3,HC03_VC206_3,HC03_VC207_2,HC03_VC208_3,HC03_VC209_1
79,high,HC03_VC182_2,HC03_VC183_1,HC03_VC184_2,HC03_VC185_3,HC03_VC186_1,HC03_VC187_2,HC03_VC188_2,HC03_VC189_3,HC03_VC190_1,HC03_VC191_2,HC03_VC192_3,HC03_VC193_2,HC03_VC194_3,HC03_VC195_3,HC03_VC196_2,HC03_VC197_1,HC03_VC198_3,HC03_VC199_2,HC03_VC200_1,HC03_VC201_2,HC03_VC202_2,HC03_VC203_3,HC03_VC204_3,HC03_VC205_2,HC03_VC206_1,HC03_VC207_2,HC03_VC208_3,HC03_VC209_2
80,high,HC03_VC182_3,HC03_VC183_3,HC03_VC184_2,HC03_VC185_2,HC03_VC186_1,HC03_VC187_4,HC03_VC188_3,HC03_VC189_1,HC03_VC190_1,HC03_VC191_2,HC03_VC192_1,HC03_VC193_2,HC03_VC194_1,HC03_VC195_1,HC03_VC196_1,HC03_VC197_1,HC03_VC198_2,HC03_VC199_1,HC03_VC200_1,HC03_VC201_1,HC03_VC202_1,HC03_VC203_2,HC03_VC204_1,HC03_VC205_3,HC03_VC206_2,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
81,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_1,HC03_VC188_1,HC03_VC189_3,HC03_VC190_4,HC03_VC191_2,HC03_VC192_3,HC03_VC193_3,HC03_VC194_2,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_2,HC03_VC204_3,HC03_VC205_4,HC03_VC206_1,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
82,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_2,HC03_VC185_3,HC03_VC186_2,HC03_VC187_3,HC03_VC188_1,HC03_VC189_3,HC03_VC190_1,HC03_VC191_3,HC03_VC192_3,HC03_VC193_3,HC03_VC194_2,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_3,HC03_VC201_2,HC03_VC202_1,HC03_VC203_3,HC03_VC204_2,HC03_VC205_3,HC03_VC206_2,HC03_VC207_2,HC03_VC208_3,HC03_VC209_2
83,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_2,HC03_VC188_2,HC03_VC189_4,HC03_VC190_4,HC03_VC191_3,HC03_VC192_3,HC03_VC193_4,HC03_VC194_3,HC03_VC195_3,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_1,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_3,HC03_VC204_1,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
84,high,HC03_VC182_4,HC03_VC183_2,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_1,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_4,HC03_VC201_1,HC03_VC202_3,HC03_VC203_2,HC03_VC204_1,HC03_VC205_3,HC03_VC206_1,HC03_VC207_3,HC03_VC208_2,HC03_VC209_2
85,high,HC03_VC182_4,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_2,HC03_VC188_4,HC03_VC189_3,HC03_VC190_1,HC03_VC191_3,HC03_VC192_3,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_1,HC03_VC202_4,HC03_VC203_3,HC03_VC204_1,HC03_VC205_2,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_1
86,high,HC03_VC182_4,HC03_VC183_2,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_2,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_1,HC03_VC193_4,HC03_VC194_4,HC03_VC195_3,HC03_VC196_3,HC03_VC197_4,HC03_VC198_3,HC03_VC199_2,HC03_VC200_3,HC03_VC201_2,HC03_VC202_4,HC03_VC203_3,HC03_VC204_1,HC03_VC205_1,HC03_VC206_2,HC03_VC207_3,HC03_VC208_3,HC03_VC209_1
87,high,HC03_VC182_3,HC03_VC183_4,HC03_VC184_3,HC03_VC185_2,HC03_VC186_1,HC03_VC187_2,HC03_VC188_1,HC03_VC189_1,HC03_VC190_1,HC03_VC191_1,HC03_VC192_2,HC03_VC193_2,HC03_VC194_2,HC03_VC195_1,HC03_VC196_1,HC03_VC197_3,HC03_VC198_1,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_2,HC03_VC203_1,HC03_VC204_3,HC03_VC205_1,HC03_VC206_1,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
88,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_2,HC03_VC188_3,HC03_VC189_3,HC03_VC190_2,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_3,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_1,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_2,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
89,high,HC03_VC182_2,HC03_VC183_4,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_1,HC03_VC188_4,HC03_VC189_4,HC03_VC190_3,HC03_VC191_3,HC03_VC192_3,HC03_VC193_1,HC03_VC194_1,HC03_VC195_2,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
90,high,HC03_VC182_4,HC03_VC183_1,HC03_VC184_1,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_2,HC03_VC189_4,HC03_VC190_4,HC03_VC191_2,HC03_VC192_3,HC03_VC193_4,HC03_VC194_1,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_1,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
91,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_1,HC03_VC185_2,HC03_VC186_1,HC03_VC187_4,HC03_VC188_1,HC03_VC189_2,HC03_VC190_1,HC03_VC191_3,HC03_VC192_3,HC03_VC193_3,HC03_VC194_3,HC03_VC195_3,HC03_VC196_3,HC03_VC197_1,HC03_VC198_3,HC03_VC199_2,HC03_VC200_1,HC03_VC201_1,HC03_VC202_1,HC03_VC203_2,HC03_VC204_3,HC03_VC205_3,HC03_VC206_2,HC03_VC207_2,HC03_VC208_3,HC03_VC209_2
92,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_1,HC03_VC188_2,HC03_VC189_2,HC03_VC190_2,HC03_VC191_2,HC03_VC192_3,HC03_VC193_1,HC03_VC194_2,HC03_VC195_2,HC03_VC196_3,HC03_VC197_2,HC03_VC198_2,HC03_VC199_2,HC03_VC200_4,HC03_VC201_4,HC03_VC202_3,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_1,HC03_VC207_2,HC03_VC208_1,HC03_VC209_2
93,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_1,HC03_VC185_3,HC03_VC186_1,HC03_VC187_3,HC03_VC188_1,HC03_VC189_1,HC03_VC190_1,HC03_VC191_2,HC03_VC192_2,HC03_VC193_3,HC03_VC194_2,HC03_VC195_2,HC03_VC196_3,HC03_VC197_1,HC03_VC198_3,HC03_VC199_1,HC03_VC200_3,HC03_VC201_1,HC03_VC202_1,HC03_VC203_2,HC03_VC204_2,HC03_VC205_2,HC03_VC206_2,HC03_VC207_1,HC03_VC208_1,HC03_VC209_2
94,high,HC03_VC182_4,HC03_VC183_2,HC03_VC184_1,HC03_VC185_2,HC03_VC186_2,HC03_VC187_1,HC03_VC188_4,HC03_VC189_1,HC03_VC190_3,HC03_VC191_1,HC03_VC192_3,HC03_VC193_3,HC03_VC194_2,HC03_VC195_2,HC03_VC196_2,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_3,HC03_VC201_3,HC03_VC202_4,HC03_VC203_2,HC03_VC204_3,HC03_VC205_2,HC03_VC206_3,HC03_VC207_1,HC03_VC208_3,HC03_VC209_2
