,drug,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80
215,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
216,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
217,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
218,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_2,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
219,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
220,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
221,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
222,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
223,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_4
224,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
225,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_3,HC03_VC80_2
226,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
227,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_4,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
228,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
229,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
230,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
231,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
232,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
233,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
234,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
235,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_3
236,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
237,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
238,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
239,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
240,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
241,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
242,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_4,HC03_VC79_1,HC03_VC80_1
243,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
244,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
245,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
246,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
247,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
248,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
249,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
250,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_3,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
251,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
252,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
253,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
254,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
255,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_3,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
256,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
257,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
258,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
259,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_3
260,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
261,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
262,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
263,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_2
264,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
265,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
266,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
267,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
268,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
269,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
270,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_2
271,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
272,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
273,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_3
274,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_3,HC03_VC79_2,HC03_VC80_1
275,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
276,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
277,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
278,mid,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
279,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
280,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
281,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
282,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_1,HC03_VC80_2
283,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
284,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
285,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
286,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
287,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
288,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
289,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
290,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_2,HC03_VC80_2
291,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_4
292,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
293,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
294,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
295,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
296,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
297,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
298,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
299,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
300,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_4,HC03_VC80_4
301,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
302,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
303,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
304,mid,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
305,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_3,HC03_VC79_2,HC03_VC80_1
306,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
307,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_4,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
308,mid,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
309,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
310,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
311,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
312,mid,HC03_VC75_3,HC03_VC76_4,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
313,mid,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_4
314,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
315,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
316,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
317,mid,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_3
318,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
319,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_2
320,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
321,mid,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
322,mid,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
323,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
324,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_2
325,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
326,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
327,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
328,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
329,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
330,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_4,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
331,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
332,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
333,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
334,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_4,HC03_VC79_1,HC03_VC80_2
335,mid,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
336,mid,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_4
337,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
338,mid,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
339,mid,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
340,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_4,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
341,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
342,mid,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
343,mid,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_4,HC03_VC80_4
344,mid,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
345,mid,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
346,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_4,HC03_VC80_4
347,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
348,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
349,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
350,low,HC03_VC75_3,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
351,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
352,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
353,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
354,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
355,low,HC03_VC75_2,HC03_VC76_4,HC03_VC77_2,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
356,low,HC03_VC75_1,HC03_VC76_1,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
357,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
358,low,HC03_VC75_1,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_4,HC03_VC80_2
359,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
360,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
361,low,HC03_VC75_1,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_4,HC03_VC80_2
362,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
363,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
364,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
365,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
366,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
367,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
368,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
369,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
370,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
371,low,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
372,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
373,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
374,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
375,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_4,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
376,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
377,low,HC03_VC75_3,HC03_VC76_4,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_3
378,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
379,low,HC03_VC75_1,HC03_VC76_1,HC03_VC77_2,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
380,low,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
381,low,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
382,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
383,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_4,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
384,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
385,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_2
386,low,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_1,HC03_VC80_3
387,low,HC03_VC75_3,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
388,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
389,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_3,HC03_VC79_1,HC03_VC80_2
390,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
391,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
392,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
393,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_2,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
394,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
395,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
396,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
397,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
398,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
399,low,HC03_VC75_4,HC03_VC76_3,HC03_VC77_4,HC03_VC78_1,HC03_VC79_1,HC03_VC80_4
400,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
401,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
402,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
403,low,HC03_VC75_1,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
404,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
405,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_1,HC03_VC78_4,HC03_VC79_1,HC03_VC80_2
406,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
407,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
408,low,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
409,low,HC03_VC75_1,HC03_VC76_3,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
410,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
411,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
412,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
413,low,HC03_VC75_2,HC03_VC76_3,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
414,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
415,low,HC03_VC75_3,HC03_VC76_2,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
416,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_1,HC03_VC79_3,HC03_VC80_4
417,low,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
418,low,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
419,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
420,low,HC03_VC75_4,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
421,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_2,HC03_VC80_4
422,low,HC03_VC75_3,HC03_VC76_3,HC03_VC77_3,HC03_VC78_3,HC03_VC79_3,HC03_VC80_1
423,low,HC03_VC75_1,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
424,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
425,low,HC03_VC75_4,HC03_VC76_2,HC03_VC77_2,HC03_VC78_1,HC03_VC79_3,HC03_VC80_3
426,low,HC03_VC75_1,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
427,low,HC03_VC75_3,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_2,HC03_VC80_1
428,low,HC03_VC75_3,HC03_VC76_1,HC03_VC77_3,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
429,low,HC03_VC75_2,HC03_VC76_2,HC03_VC77_3,HC03_VC78_2,HC03_VC79_1,HC03_VC80_4
